10000 10770
1 2 250
1 3 88
1 4 90
2 5 91
2 6 112
2 7 61
7 8 163
4 9 88
7 10 72
8 11 38
9 12 192
3 13 170
1 14 66
14 15 230
5 16 96
4 17 54
15 18 66
17 19 46
11 20 220
2 21 153
6 22 158
20 23 48
15 24 143
7 25 248
25 26 28
20 27 126
25 28 198
14 29 124
11 30 50
29 31 221
9 32 130
1 33 135
26 34 196
28 35 186
19 36 132
26 37 111
24 38 180
21 39 211
23 40 174
25 41 143
20 42 91
29 43 182
31 44 91
38 45 108
41 46 182
38 47 28
9 48 46
42 49 197
42 50 182
13 51 125
28 52 244
42 53 77
37 54 134
1 55 216
18 56 48
39 57 57
2 58 230
31 59 64
57 60 25
35 61 8
36 62 1
46 63 130
46 64 56
52 65 182
44 66 33
48 67 160
23 68 173
62 69 152
54 70 203
48 71 18
66 72 140
26 73 220
12 74 166
29 75 126
56 76 241
10 77 138
26 78 59
29 79 93
36 80 140
52 81 91
27 82 92
67 83 176
35 84 140
34 85 41
57 86 242
69 87 100
24 88 156
49 89 237
43 90 216
47 91 41
91 92 30
67 93 221
90 94 40
7 95 16
41 96 164
45 97 72
81 98 235
69 99 28
55 100 43
60 101 132
54 102 145
32 103 248
30 104 158
41 105 171
45 106 170
14 107 191
106 108 252
106 109 82
90 110 44
46 111 53
61 112 90
63 113 173
78 114 230
10 115 61
7 116 248
79 117 176
37 118 38
102 119 80
88 120 62
65 121 166
111 122 164
4 123 228
112 124 191
117 125 78
113 126 211
86 127 74
113 128 172
123 129 24
59 130 200
126 131 95
78 132 108
46 133 92
117 134 124
26 135 37
115 136 92
57 137 251
98 138 188
105 139 2
130 140 164
4 141 219
106 142 166
113 143 214
78 144 211
129 145 70
73 146 251
67 147 92
119 148 64
13 149 68
148 150 200
127 151 58
147 152 188
61 153 156
34 154 120
70 155 230
69 156 12
29 157 164
47 158 241
125 159 194
93 160 207
134 161 14
46 162 152
80 163 54
62 164 162
39 165 158
154 166 89
10 167 222
134 168 49
69 169 232
31 170 154
161 171 134
134 172 238
25 173 64
78 174 81
77 175 248
43 176 227
20 177 194
135 178 239
95 179 92
108 180 74
61 181 152
172 182 28
100 183 22
71 184 210
184 185 142
151 186 237
19 187 184
119 188 162
121 189 42
93 190 77
139 191 252
43 192 120
94 193 108
34 194 47
81 195 10
44 196 3
178 197 76
153 198 87
178 199 132
100 200 180
69 201 158
113 202 174
182 203 237
42 204 16
156 205 80
106 206 176
203 207 70
37 208 104
126 209 71
113 210 238
191 211 6
134 212 63
177 213 190
206 214 245
118 215 112
78 216 20
62 217 38
85 218 122
216 219 204
36 220 91
36 221 158
85 222 224
132 223 78
44 224 171
88 225 78
1 226 61
123 227 6
96 228 60
6 229 160
101 230 172
108 231 7
94 232 218
67 233 27
6 234 38
215 235 79
84 236 84
157 237 143
212 238 212
181 239 57
238 240 253
187 241 113
30 242 118
207 243 124
216 244 230
157 245 160
200 246 165
132 247 172
62 248 32
196 249 140
133 250 88
109 251 76
178 252 157
240 253 254
93 254 79
194 255 124
223 256 106
97 257 60
167 258 37
252 259 144
252 260 58
251 261 224
248 262 61
107 263 60
161 264 126
258 265 218
225 266 35
189 267 222
38 268 141
49 269 185
39 270 124
103 271 76
123 272 234
153 273 146
42 274 226
38 275 189
61 276 128
34 277 219
109 278 44
228 279 57
265 280 240
106 281 42
124 282 200
141 283 114
228 284 148
182 285 113
133 286 36
160 287 48
239 288 206
238 289 157
101 290 102
245 291 54
28 292 107
153 293 230
118 294 51
174 295 94
52 296 56
108 297 172
211 298 164
248 299 144
4 300 90
43 301 60
210 302 29
200 303 20
174 304 9
209 305 51
130 306 30
291 307 166
60 308 22
242 309 220
216 310 190
141 311 134
124 312 80
252 313 142
292 314 109
207 315 238
108 316 25
189 317 34
64 318 52
242 319 162
231 320 100
168 321 182
197 322 46
56 323 70
45 324 203
93 325 164
310 326 230
143 327 162
103 328 27
131 329 74
285 330 32
92 331 14
156 332 184
223 333 142
299 334 247
330 335 72
246 336 248
26 337 126
111 338 140
174 339 207
244 340 182
281 341 152
264 342 224
174 343 251
269 344 104
220 345 143
244 346 126
250 347 84
119 348 106
240 349 91
298 350 190
341 351 123
346 352 162
191 353 90
293 354 166
260 355 244
33 356 106
351 357 251
264 358 50
90 359 70
181 360 222
210 361 206
286 362 36
332 363 30
261 364 94
339 365 83
102 366 6
239 367 201
25 368 60
342 369 83
348 370 70
190 371 169
118 372 58
113 373 242
138 374 18
209 375 168
316 376 92
268 377 234
190 378 248
246 379 197
229 380 156
303 381 206
212 382 200
43 383 144
349 384 198
113 385 124
243 386 240
204 387 71
214 388 116
78 389 60
330 390 11
38 391 196
84 392 246
348 393 52
246 394 10
303 395 208
63 396 76
273 397 108
357 398 143
202 399 124
96 400 146
223 401 235
219 402 252
217 403 209
390 404 142
339 405 29
359 406 198
75 407 11
317 408 6
32 409 218
340 410 50
305 411 170
303 412 36
168 413 251
49 414 38
15 415 125
383 416 172
322 417 241
82 418 105
112 419 250
44 420 16
274 421 228
160 422 17
196 423 20
96 424 157
401 425 124
355 426 99
210 427 134
39 428 80
220 429 94
327 430 116
120 431 140
353 432 124
327 433 68
23 434 124
372 435 140
161 436 92
98 437 4
310 438 174
100 439 66
173 440 124
426 441 127
144 442 233
156 443 222
166 444 174
268 445 157
315 446 36
390 447 246
155 448 250
274 449 5
18 450 220
39 451 31
114 452 30
95 453 92
446 454 220
45 455 251
183 456 104
437 457 85
124 458 22
257 459 169
316 460 214
158 461 17
275 462 252
426 463 243
396 464 170
419 465 63
175 466 50
131 467 139
198 468 78
21 469 212
319 470 220
31 471 145
21 472 14
414 473 155
150 474 102
52 475 46
317 476 224
222 477 222
186 478 60
349 479 241
473 480 86
26 481 126
100 482 110
373 483 231
431 484 64
111 485 1
391 486 70
440 487 128
52 488 124
419 489 45
284 490 146
311 491 79
256 492 91
98 493 84
359 494 98
168 495 7
209 496 162
46 497 125
294 498 188
305 499 185
313 500 74
162 501 72
466 502 224
398 503 153
293 504 54
211 505 168
354 506 110
43 507 172
253 508 110
231 509 123
489 510 10
233 511 7
470 512 168
311 513 13
77 514 60
43 515 60
356 516 126
116 517 5
172 518 154
237 519 57
388 520 212
518 521 54
216 522 182
402 523 171
401 524 234
489 525 211
389 526 36
231 527 146
85 528 70
127 529 190
279 530 38
233 531 158
463 532 156
519 533 190
291 534 89
434 535 208
398 536 207
399 537 134
498 538 189
495 539 30
532 540 24
33 541 92
211 542 38
538 543 92
222 544 196
335 545 166
404 546 26
296 547 75
197 548 56
203 549 29
418 550 142
290 551 93
427 552 204
361 553 128
343 554 240
62 555 62
201 556 252
171 557 170
394 558 151
58 559 92
264 560 35
91 561 194
154 562 155
26 563 14
359 564 142
382 565 126
427 566 60
349 567 4
355 568 56
22 569 142
313 570 32
517 571 130
172 572 236
341 573 188
250 574 134
416 575 196
244 576 70
34 577 2
176 578 101
301 579 88
542 580 235
446 581 110
557 582 12
167 583 85
145 584 56
434 585 59
361 586 112
245 587 38
444 588 27
278 589 242
134 590 48
146 591 210
139 592 217
294 593 32
285 594 67
278 595 204
339 596 4
210 597 150
580 598 122
382 599 108
199 600 106
299 601 40
494 602 168
258 603 86
85 604 17
388 605 138
554 606 101
587 607 6
501 608 34
274 609 204
366 610 134
541 611 72
519 612 140
559 613 95
248 614 218
606 615 202
523 616 92
570 617 92
215 618 99
118 619 148
480 620 216
543 621 248
610 622 162
243 623 152
418 624 191
265 625 30
426 626 98
596 627 192
156 628 59
426 629 105
476 630 220
576 631 31
61 632 102
268 633 252
150 634 140
119 635 176
547 636 78
347 637 46
243 638 6
412 639 84
329 640 30
488 641 92
498 642 107
321 643 30
224 644 115
252 645 220
555 646 67
210 647 174
342 648 133
405 649 50
248 650 244
210 651 65
550 652 60
297 653 70
292 654 144
228 655 218
313 656 238
118 657 88
623 658 138
527 659 92
467 660 118
358 661 245
249 662 32
122 663 10
31 664 190
134 665 149
345 666 240
478 667 69
202 668 252
507 669 142
542 670 106
394 671 209
425 672 132
281 673 66
350 674 82
321 675 186
342 676 210
47 677 204
324 678 35
360 679 192
161 680 8
547 681 20
300 682 169
602 683 140
231 684 232
673 685 169
581 686 86
366 687 217
467 688 140
297 689 91
665 690 158
572 691 189
225 692 162
340 693 126
532 694 70
374 695 139
419 696 246
670 697 144
594 698 66
538 699 119
515 700 82
524 701 6
430 702 174
601 703 198
257 704 220
247 705 117
142 706 10
323 707 167
473 708 254
371 709 165
535 710 152
568 711 153
623 712 6
202 713 65
694 714 138
534 715 122
282 716 198
713 717 174
305 718 179
508 719 188
266 720 176
520 721 86
628 722 134
55 723 190
96 724 55
511 725 114
95 726 127
443 727 212
152 728 152
347 729 144
536 730 232
561 731 28
408 732 102
719 733 78
647 734 185
476 735 188
532 736 34
318 737 76
101 738 172
363 739 140
352 740 243
615 741 116
719 742 251
428 743 182
83 744 168
629 745 243
675 746 176
29 747 92
483 748 184
356 749 205
393 750 166
641 751 71
285 752 100
546 753 89
626 754 204
110 755 160
283 756 172
55 757 72
645 758 134
546 759 181
511 760 26
322 761 13
330 762 72
326 763 20
409 764 8
614 765 101
387 766 38
548 767 88
221 768 2
608 769 151
42 770 150
250 771 53
576 772 2
552 773 246
315 774 3
292 775 108
337 776 144
66 777 194
195 778 236
300 779 12
743 780 256
637 781 54
293 782 8
763 783 98
244 784 116
433 785 42
631 786 92
321 787 174
85 788 135
672 789 110
355 790 3
263 791 254
577 792 194
735 793 192
608 794 194
584 795 241
97 796 220
77 797 11
352 798 206
752 799 173
676 800 166
500 801 96
174 802 36
187 803 124
331 804 52
29 805 178
485 806 31
52 807 204
378 808 252
306 809 144
731 810 90
185 811 124
386 812 216
145 813 241
481 814 78
376 815 238
719 816 18
800 817 231
207 818 172
478 819 121
811 820 120
465 821 58
452 822 84
701 823 236
506 824 173
580 825 166
508 826 26
370 827 14
693 828 16
244 829 228
773 830 46
267 831 50
332 832 16
572 833 121
169 834 140
756 835 72
717 836 88
589 837 184
497 838 28
202 839 66
371 840 54
626 841 116
195 842 124
560 843 181
137 844 48
484 845 235
393 846 80
386 847 124
130 848 150
776 849 38
813 850 6
240 851 21
96 852 194
427 853 105
534 854 82
730 855 134
828 856 148
582 857 58
751 858 252
200 859 140
346 860 164
537 861 192
210 862 54
92 863 93
626 864 104
160 865 117
289 866 210
779 867 89
670 868 200
535 869 115
396 870 134
330 871 122
402 872 88
779 873 84
820 874 90
490 875 52
651 876 38
601 877 234
352 878 141
726 879 10
192 880 84
865 881 201
681 882 84
743 883 56
584 884 156
384 885 187
736 886 182
754 887 250
814 888 8
600 889 133
845 890 4
379 891 81
438 892 158
866 893 182
731 894 112
524 895 6
295 896 94
570 897 35
99 898 206
500 899 113
50 900 38
281 901 154
298 902 140
342 903 44
288 904 116
762 905 112
890 906 30
197 907 24
333 908 108
694 909 217
485 910 46
752 911 179
745 912 92
833 913 50
330 914 211
867 915 156
285 916 154
758 917 60
631 918 202
912 919 146
438 920 28
727 921 220
794 922 112
327 923 254
380 924 169
441 925 50
650 926 250
291 927 132
502 928 172
142 929 109
485 930 204
523 931 4
174 932 126
133 933 123
671 934 232
113 935 50
127 936 90
730 937 49
493 938 4
147 939 251
163 940 8
247 941 81
733 942 122
340 943 216
227 944 204
554 945 220
554 946 53
357 947 102
186 948 198
122 949 182
858 950 103
544 951 72
867 952 129
432 953 204
680 954 148
389 955 70
733 956 18
817 957 174
237 958 98
665 959 62
881 960 231
694 961 198
436 962 224
701 963 60
372 964 48
556 965 46
645 966 238
560 967 237
28 968 124
359 969 4
865 970 78
865 971 36
514 972 250
631 973 81
617 974 218
132 975 108
401 976 166
685 977 102
912 978 174
277 979 49
866 980 240
954 981 152
690 982 4
399 983 204
123 984 108
908 985 36
439 986 153
905 987 200
