500 124750
50 350
1 2 8
1 3 50
1 4 74
1 5 59
1 6 31
1 7 73
1 8 45
1 9 79
1 10 24
1 11 10
1 12 41
1 13 66
1 14 93
1 15 43
1 16 88
1 17 4
1 18 28
1 19 30
1 20 41
1 21 13
1 22 4
1 23 70
1 24 10
1 25 58
1 26 61
1 27 34
1 28 100
1 29 79
1 30 17
1 31 36
1 32 98
1 33 27
1 34 13
1 35 68
1 36 11
1 37 34
1 38 80
1 39 50
1 40 80
1 41 22
1 42 68
1 43 73
1 44 94
1 45 37
1 46 86
1 47 46
1 48 29
1 49 92
1 50 95
1 51 58
1 52 2
1 53 54
1 54 9
1 55 45
1 56 69
1 57 91
1 58 25
1 59 97
1 60 31
1 61 4
1 62 23
1 63 67
1 64 50
1 65 25
1 66 2
1 67 54
1 68 78
1 69 9
1 70 29
1 71 34
1 72 99
1 73 82
1 74 36
1 75 14
1 76 66
1 77 15
1 78 64
1 79 37
1 80 26
1 81 70
1 82 16
1 83 95
1 84 30
1 85 2
1 86 18
1 87 96
1 88 6
1 89 5
1 90 52
1 91 99
1 92 89
1 93 24
1 94 6
1 95 83
1 96 53
1 97 67
1 98 17
1 99 38
1 100 39
1 101 45
1 102 2
1 103 98
1 104 72
1 105 29
1 106 38
1 107 59
1 108 78
1 109 98
1 110 95
1 111 5
1 112 10
1 113 32
1 114 46
1 115 76
1 116 36
1 117 99
1 118 43
1 119 100
1 120 69
1 121 13
1 122 61
1 123 58
1 124 95
1 125 9
1 126 96
1 127 69
1 128 14
1 129 31
1 130 7
1 131 63
1 132 43
1 133 66
1 134 83
1 135 53
1 136 68
1 137 22
1 138 96
1 139 13
1 140 72
1 141 2
1 142 91
1 143 32
1 144 39
1 145 58
1 146 17
1 147 91
1 148 41
1 149 80
1 150 36
1 151 7
1 152 73
1 153 99
1 154 96
1 155 20
1 156 55
1 157 24
1 158 90
1 159 61
1 160 6
1 161 27
1 162 24
1 163 7
1 164 14
1 165 71
1 166 39
1 167 95
1 168 21
1 169 45
1 170 67
1 171 35
1 172 27
1 173 95
1 174 64
1 175 39
1 176 45
1 177 91
1 178 51
1 179 60
1 180 24
1 181 48
1 182 86
1 183 18
1 184 73
1 185 40
1 186 48
1 187 86
1 188 97
1 189 86
1 190 24
1 191 21
1 192 45
1 193 69
1 194 36
1 195 16
1 196 26
1 197 35
1 198 43
1 199 12
1 200 80
1 201 53
1 202 45
1 203 96
1 204 19
1 205 97
1 206 93
1 207 16
1 208 92
1 209 34
1 210 70
1 211 98
1 212 54
1 213 48
1 214 26
1 215 11
1 216 63
1 217 12
1 218 9
1 219 78
1 220 62
1 221 26
1 222 36
1 223 69
1 224 96
1 225 77
1 226 68
1 227 40
1 228 75
1 229 32
1 230 57
1 231 2
1 232 73
1 233 61
1 234 95
1 235 85
1 236 56
1 237 90
1 238 8
1 239 16
1 240 94
1 241 70
1 242 81
1 243 56
1 244 56
1 245 7
1 246 64
1 247 3
1 248 77
1 249 9
1 250 50
1 251 32
1 252 45
1 253 39
1 254 9
1 255 98
1 256 52
1 257 50
1 258 4
1 259 32
1 260 32
1 261 15
1 262 20
1 263 76
1 264 10
1 265 81
1 266 30
1 267 24
1 268 55
1 269 61
1 270 38
1 271 46
1 272 18
1 273 26
1 274 1
1 275 57
1 276 65
1 277 98
1 278 49
1 279 5
1 280 51
1 281 51
1 282 77
1 283 13
1 284 55
1 285 98
1 286 5
1 287 82
1 288 49
1 289 66
1 290 79
1 291 100
1 292 10
1 293 30
1 294 54
1 295 84
1 296 48
1 297 8
1 298 74
1 299 23
1 300 6
1 301 77
1 302 54
1 303 25
1 304 31
1 305 67
1 306 1
1 307 45
1 308 71
1 309 86
1 310 17
1 311 99
1 312 56
1 313 34
1 314 58
1 315 77
1 316 79
1 317 67
1 318 58
1 319 12
1 320 79
1 321 15
1 322 20
1 323 38
1 324 34
1 325 92
1 326 21
1 327 63
1 328 34
1 329 98
1 330 32
1 331 89
1 332 90
1 333 74
1 334 78
1 335 5
1 336 59
1 337 1
1 338 55
1 339 61
1 340 16
1 341 48
1 342 81
1 343 31
1 344 56
1 345 47
1 346 8
1 347 39
1 348 1
1 349 27
1 350 36
1 351 58
1 352 14
1 353 15
1 354 94
1 355 61
1 356 55
1 357 19
1 358 58
1 359 86
1 360 30
1 361 16
1 362 64
1 363 3
1 364 18
1 365 44
1 366 20
1 367 68
1 368 48
1 369 70
1 370 96
1 371 4
1 372 74
1 373 4
1 374 49
1 375 86
1 376 59
1 377 60
1 378 7
1 379 31
1 380 25
1 381 33
1 382 74
1 383 4
1 384 98
1 385 21
1 386 51
1 387 32
1 388 81
1 389 4
1 390 1
1 391 21
1 392 34
1 393 59
1 394 4
1 395 77
1 396 51
1 397 35
1 398 81
1 399 80
1 400 33
1 401 75
1 402 50
1 403 43
1 404 50
1 405 72
1 406 11
1 407 80
1 408 84
1 409 71
1 410 41
1 411 24
1 412 51
1 413 72
1 414 30
1 415 19
1 416 47
1 417 100
1 418 31
1 419 22
1 420 77
1 421 25
1 422 45
1 423 59
1 424 97
1 425 72
1 426 65
1 427 61
1 428 99
1 429 52
1 430 41
1 431 4
1 432 52
1 433 2
1 434 6
1 435 81
1 436 19
1 437 75
1 438 50
1 439 14
1 440 21
1 441 26
1 442 13
1 443 84
1 444 89
1 445 18
1 446 9
1 447 51
1 448 25
1 449 96
1 450 58
1 451 12
1 452 91
1 453 67
1 454 11
1 455 94
1 456 54
1 457 66
1 458 61
1 459 43
1 460 4
1 461 53
1 462 8
1 463 42
1 464 11
1 465 1
1 466 100
1 467 28
1 468 72
1 469 88
1 470 15
1 471 26
1 472 42
1 473 18
1 474 49
1 475 43
1 476 16
1 477 75
1 478 46
1 479 74
1 480 21
1 481 12
1 482 40
1 483 55
1 484 6
1 485 30
1 486 54
1 487 90
1 488 67
1 489 57
1 490 5
1 491 61
1 492 99
1 493 93
1 494 21
1 495 17
1 496 81
1 497 68
1 498 53
1 499 40
1 500 99
2 3 2
2 4 12
2 5 17
2 6 92
2 7 72
2 8 29
2 9 72
2 10 62
2 11 46
2 12 21
2 13 41
2 14 59
2 15 54
2 16 28
2 17 51
2 18 12
2 19 64
2 20 95
2 21 34
2 22 28
2 23 28
2 24 96
2 25 32
2 26 43
2 27 17
2 28 7
2 29 16
2 30 25
2 31 2
2 32 98
2 33 62
2 34 4
2 35 25
2 36 9
2 37 37
2 38 82
2 39 16
2 40 11
2 41 17
2 42 6
2 43 74
2 44 82
2 45 21
2 46 92
2 47 70
2 48 66
2 49 28
2 50 37
2 51 29
2 52 26
2 53 85
2 54 68
2 55 50
2 56 77
2 57 47
2 58 77
2 59 67
2 60 68
2 61 21
2 62 85
2 63 92
2 64 11
2 65 59
2 66 12
2 67 45
2 68 19
2 69 19
2 70 35
2 71 26
2 72 68
2 73 90
2 74 19
2 75 15
2 76 26
2 77 19
2 78 29
2 79 30
2 80 35
2 81 28
2 82 41
2 83 55
2 84 41
2 85 97
2 86 36
2 87 84
2 88 49
2 89 66
2 90 12
2 91 53
2 92 65
2 93 77
2 94 38
2 95 76
2 96 46
2 97 11
2 98 16
2 99 93
2 100 11
2 101 48
2 102 38
2 103 100
2 104 48
2 105 16
2 106 94
2 107 80
2 108 30
2 109 65
2 110 80
2 111 2
2 112 26
2 113 90
2 114 59
2 115 34
2 116 1
2 117 90
2 118 71
2 119 18
2 120 47
2 121 39
2 122 44
2 123 39
2 124 37
2 125 22
2 126 20
2 127 97
2 128 48
2 129 89
2 130 60
2 131 88
2 132 36
2 133 36
2 134 13
2 135 85
2 136 90
2 137 85
2 138 35
2 139 68
2 140 20
2 141 16
2 142 46
2 143 77
2 144 62
2 145 26
2 146 20
2 147 32
2 148 4
2 149 99
2 150 99
2 151 40
2 152 5
2 153 4
2 154 80
2 155 66
2 156 92
2 157 8
2 158 25
2 159 66
2 160 22
2 161 55
2 162 7
2 163 51
2 164 4
2 165 33
2 166 33
2 167 42
2 168 55
2 169 78
2 170 18
2 171 1
2 172 90
2 173 66
2 174 48
2 175 23
2 176 80
2 177 18
2 178 17
2 179 49
2 180 63
2 181 30
2 182 40
2 183 9
2 184 4
2 185 58
2 186 62
2 187 53
2 188 67
